Herb,Title,Abstract
green tea,Influence of continued ingestion of matcha on emotional behaviors after social stress in mice - PubMed,"              Matcha has high contents of theanine, caffeine, and epigallocatechin gallate (EGCG). Among these, theanine reduces psychological and physiological stress responses, although this effect is disturbed by caffeine and EGCG. It was reported that the continued ingestion of high-quality matcha, whose molar ratio of caffeine and EGCG to theanine and arginine was kept at less than two, reduces stress responses. However, most matcha on the market has an inadequate ratio. Therefore, we investigated the influence of continued ingestion of matcha with a ratio of over two, on emotional behaviors after stress. Continued ingestion of matcha was suggested to reduce the anxiety-like behaviors induced by psychological and physiological stresses.          "
green tea,Aromatherapy and Essential Oils: A Map of the Evidence - PubMed,"        Background:                    The purpose of this review is to provide the Veterans Health Administration (VHA) with a broad overview of the effectiveness of aromatherapy and essential oils (EOs), and the health conditions for which these interventions have been examined.                  Data Sources and Study Selection:                    We searched multiple databases through February 2019 for systematic reviews (SRs) of aromatherapy and EOs for health conditions. Using pre-specified inclusion criteria, all abstracts and full-text articles were dual-screened for inclusion. When there were several qualified reviews for the same health condition, we selected a single review based on its recency, methods, scope, and applicability.                  Data Abstraction:                    From each review, we abstracted the focus of the SR, the number of controlled trials included, combined number of participants, duration of trials, condition treated, and relevant findings from controlled trials. We abstracted separate data for each of 5 outcome categories: psychological outcomes, nausea/vomiting, pain and other physical outcomes, sleep outcomes, and global health outcomes.                  Data Synthesis:                    For each review and outcome category we assigned values representing the effectiveness level of the intervention and confidence in the evidence and used these values to generate evidence maps. Additionally, we provide a narrative synthesis of the findings.                  Results:                    We included 26 SRs representing the most recent and comprehensive evidence available. There is moderate-confidence evidence that aromatherapy is beneficial for pain in dysmenorrhea. Aromatherapy is potentially effective for pain in labor/childbirth; blood pressure reduction in hypertension; stress, depression, and sleep in hemodialysis patients; stress in healthy adults; anxiety in perioperative patients; and sleep quality in various populations, with low to moderate confidence in the evidence. For EOs applied topically, there is moderate confidence in the potentially positive effect of tea tree oil for tinea pedis. There is insufficient evidence of efficacy for all other conditions examined.          "
green tea,"Expectancies, not aroma, explain impact of lavender aromatherapy on psychophysiological indices of relaxation in young healthy women - PubMed","        Objectives:                    In aromatherapy, lavender aroma is reputed to assist with relaxation. However, while there is much anecdotal evidence to that effect, the empirical literature is very inconsistent. Failure to employ adequate placebos, proper blinding, objective measures, or screening of prior beliefs about aromatherapy means that many previous findings could have been influenced by expectancy biases. The present study sought to establish whether lavender aroma and/or expectancies affect post-stress relaxation.                  Design:                    A double-blind, 3 (aroma) x 3 (instruction) x 10 (time in minutes) mixed-factorial placebo-controlled trial.                  Method:                    In a laboratory, 96 healthy undergraduate women were exposed to lavender, placebo, or no aroma during physiologically assessed relaxation after an arousing cognitive task. Where an aroma was presented, an instructional priming procedure was used to manipulate participants' expectancies about the aroma's likely impact on their ability to relax.                  Results:                    Results showed no effect of aroma on galvanic skin response during relaxation. However, the nature of instructional prime was associated with relaxation patterns: when expecting the aroma to inhibit them, participants relaxed more; when expecting facilitation, participants relaxed less. The effect was not seen with regard to self-reported relaxation (as represented by changes in state anxiety) and was independent of ratings of attitudes towards aromatherapy.                  Conclusions:                    The findings imply that the previous associations of lavender aroma with assisted relaxation may have been influenced by expectancy biases, and that the relevant expectancies are easily manipulable.          "
green tea,[Ethnographic study of neurological and mental diseases among the Uru-Chipaya peoples of the Andean Altiplano] - PubMed,"        Introduction:                    The Uru-Chipaya people are an ethnic group of about 2,500 people, descendants of primitive Andean cultures. Their isolation (they live at an altitude of 4,000 metres in southern Bolivia), their non-written language (Chipaya-Puquina) and their traditional way of life, clothing and customs, which are similar to those used for thousands of years, make this an unusual culture. The aim of our work was to carry out an ethnographic study of the neurological diseases experienced by these people, the way they conceive such disorders and their therapeutic approaches to them.                  Development:                    An ethnographic field study was conducted in June 2004. A structured interview was held with a yatiri, or Chipaya healer, to allow classification of the neurological or mental diseases. Epilepsy (tukuri) is interpreted as being a consequence of an evil spirit entering through the nose. Treatment consists in drinking an infusion containing dried powdered butterfly (jesko), birds or curupancho. Achamixi (headache) is common and is treated by drinking the yatiri's fermented urine, herb tea made from the chachacoma plant and by blowing, which is done by the yatiri over the patient's head. Fright, the symptoms of which are similar to those of a post-traumatic stress disorder, is treated by a wilancha, that is, the ritual sacrifice of a llama offered to the Pachamama. Sadness, the cultural equivalent to depression, is treated with infusions made from ayrampo, a plant found in the Andean Altiplano. Psychosis (sumsu), which is treated by means of a wilancha, and mental retardation/static encephalopathy (pustkis), which are considered to be a result of a fright suffered by the mother during pregnancy, also exist. No mention was made of the existence of extrapyramidal or vascular pathologies.                  Conclusion:                    The cultural equivalents of certain neurological pathologies (headache, epilepsy, mental retardation, anxiety and depression) are present in this ancestral culture.          "
green tea,"Effect of epigallocatechin gallate supplementation in schizophrenia and bipolar disorder: an 8-week, randomized, double-blind, placebo-controlled study - PubMed","        Objectives:                    Strategies that focus on the reduction of oxidative stress and inflammation may have therapeutic benefit for the treatment of schizophrenia. This clinical trial sought to determine, in a double-blind study, whether epigallocatechin gallate (EGCG), a green tea extract, is a useful adjunct to maintenance antipsychotic medication.                  Methods:                    Adults with schizophrenia, schizoaffective disorder or bipolar disorder who were maintained on antipsychotic and other psychotropic medications were randomized to supplemental EGCG or placebo. Study participants completed clinical assessments and blood draws to evaluate supplemental treatment effects on psychiatric symptoms and plasma inflammatory markers.                  Results:                    A total of 34 participants (17 EGCG, 17 placebo) were randomized and 25 participants (14 EGCG, 11 placebo) completed the study. Both treatment groups showed significant reductions in psychotic, depressive and anxiety symptoms from baseline to end of treatment. However, EGCG did not significantly affect psychiatric symptoms or inflammatory markers, as compared with placebo. Adverse effects were mild and comparable between groups.                  Conclusion:                    There was no signal for a therapeutic effect of the green tea extract EGCG on psychiatric symptoms in this placebo-controlled pilot study.          "
green tea,An optimal dose of tea polyphenols protects against global cerebral ischemia/reperfusion injury - PubMed,"              Previous studies addressing the protection of tea polyphenols against cerebral ischemia/reperfusion injury often use focal cerebral ischemia models, and the optimal dose is not unified. In this experiment, a cerebral ischemia/reperfusion injury rat model was established using a modified four-vessel occlusion method. Rats were treated with different doses of tea polyphenols (25, 50, 100, 150, 200 mg/kg) via intraperitoneal injection. Results showed that after 2, 6, 12, 24, 48 and 72 hours of reperfusion, peroxide dismutase activity and total antioxidant capacity in brain tissue gradually increased, while malondialdehyde content gradually decreased after tea polyphenol intervention. Tea polyphenols at 200 mg/kg resulted in the most apparent changes. Terminal deoxynucleotidyl transferase-mediated nick end labeling and flow cytometry showed that 200 mg/kg tea polyphenols significantly reduced the number and percentage of apoptotic cells in the hippocampal CA1 region of rats after cerebral ischemia/reperfusion injury. The open field test and elevated plus maze experiments showed that tea polyphenols at 200 mg/kg strengthened exploratory behavior and reduced anxiety of cerebral ischemia/reperfusion injured rats. Experimental findings indicate that tea polyphenols protected rats against cerebral ischemia/reperfusion injury and 200 mg/kg is regarded as the optimal dose.           "
green tea,Tibetan Herbal Tea Agar-35 Reduces Negative Affect and Anxiety: A Placebo-Controlled Pilot Study - PubMed,"        Introduction:                    Herbal medicine and other forms of complementary and alternative medicine (CAM) are used to treat symptoms of psychiatric disorders in the United States, including anxiety and mood problems. In Traditional Tibetan Medicine anxiety and depression are commonly treated with an herbal compound known as Agar-35.                  Objective:                    The objective of this pilot study was to explore whether Agar-35 tea would improve anxiety, affect, stress, and rumination.                  Methods:                    Undergraduate psychology students (N=14) were randomized to drink either Agar-35 tea (n=6) or placebo tea (n=8) for 7 nights.                  Results:                    The results indicated that Agar-35 significantly reduced participants' negative affect compared to placebo, U = 6.0, p = .019, effect size, r = .63. Further, Agar-35 also reduced anxiety (trending toward significance), U = 10.0, p = .071, effect size, r = .48.                  Conclusion:                    In accordance with its use in Tibetan Medicine, these preliminary findings suggest that Agar-35 may benefit aspects of psychological health.          "
green tea,Coadministration of epigallocatechin-3-gallate (EGCG) and caffeine in low dose ameliorates obesity and nonalcoholic fatty liver disease in obese rats - PubMed,"              Epigallocatechin-3-gallate (EGCG) and caffeine in tea exert anti-obesity effects and induces nonalcoholic fatty liver disease (NAFLD) amelioration. However, previous studies usually performed a high-dose EGCG administration, whereas the insecurity was arisen in recent researches. In this study, we treated obese rats with an elaborate dose-40 mg/kg EGCG, 20 mg/kg caffeine, and the coadministration of them as low dose, which were similar to the daily intake; 160 mg/kg EGCG as high dose, which was the maximum safe dose had touched the contentious edge. The results suggested that the coadministration of EGCG and caffeine exerted more remarkable function on suppressing body weight gain, reducing white adipose tissue weight and decreasing the energy intake than single use. This may be due to the variation in serum lipid profile, oxidative stress, and adipose-derived and inflammatory cytokines. The pathological micrographs showed long-term high-fat diets caused severe NAFLD, but it was ameliorated at different levels by all of the administrations. In summary, low dose of EGCG or caffeine only showed a mild effect of anti-obesity and NAFLD amelioration. The coadministration of them could exert a superior curative effect as well as high dose EGCG but no anxiety regarding safety.          "
green tea,"Intermittent drinking, oxytocin and human health - PubMed","              Looking at a waterhole, it is surprising that so many animals share the same space without visible signs of anxiety or aggression. Although waterholes are the preferred feeding locations of large carnivores, waterholes are shared by all type of herbivores of all sizes and shapes, including elephants. Recent research shows that the homeostatic disturbances leading to the ""thirst feeling"" not only activate specific substances regulating water and mineral household, but also the ""trust and love"" hormone oxytocin, while decreasing the production of the typical stress hormone cortisol. People using drugs, seem to be in search for oxytocin, as evidenced in studies with individuals on drugs such as ecstasy and gamma-hydroxybyturate. Hot environment, drought and increased sweating also activate specific oxytocin-producing parts of the hypothalamus, just as breastfeeding does in mother and infant. Water homeostasis is the only allostatic system activating trust neuro-anatomy and we suggest that this is due to the fact that all animals depend on water, whereas food type is species specific. Our hypothesis; regulating drinking behaviour through intermittent bulk drinking could increase oxytocin signalling, recover human trust and increase health by down-regulation of stress axis activity and inflammatory activity of the immune system. Intermittent bulk drinking should be defined as water (including tea and coffee) drinking up to a feeling of satiety and regulated by a mild feeling of thirst. This would mean that people would not drink less quantity but less frequently and that's how all animals, but also human newborns behave. It is the latter group, which is probably the only group of humans with a normal fluid homeostasis.           "
green tea,"Antinociceptive, neurobehavioral and antioxidant effects of Eupatorium triplinerve Vahl on rats - PubMed","        Ethnopharmacological relevance:                    Eupatorium triplinerve Vahl belongs to the Asteraceae family, popularly known as Japana. It is a perennial shrub native to Amazon rainforests of South America. Its leaves are used through infusions, decoctions, baths, and tea. It is largely used in Brazilian folk medicine as sedative, febrifuge, stimulant, tonic and anti-inflammatory.                  Aim of the study:                    The present study evaluated the putative effects of Eupatorium triplinerve on the central nervous system (CNS), including locomotor and anxiety activity, depression-like behavior, and antinociception and oxidative stress.                  Materials and methods:                    Two-month-old male Wistar rats (n=7-10 rats/group) and Swiss male and female mice of the species Mus musculus (n=7-10 per group) were administered with 100 mg/kg, 200 mg/kg, 400 mg/kg, 600 mg/kg, and 800 mg/kg of hydroalcoholic extracts of Eupatorium triplinerve (HEET). The behavioral assays included open-field (OF), elevated Plus-maze (EPM), and forced swimming tests (FS). The antinociceptive activity was verified using chemical (acetic acid and formalin) and thermal (hot plate) models of nociception. The oxidative stress levels were measured in rat blood samples after behavioral assays and Trolox equivalent antioxidant capacity (TEAC), nitric oxide and malondialdehyde (MDA) levels were measured in vivo.                  Results:                    Oral pretreatment with HEET reduced the locomotion in OF test (200-800 mg/kg), increased central locomotion and open arms entries in the OF and EPM tests, respectively (600-800 mg/kg), and decreased the immobility time in the FS (200-800 mg/kg). It also reduced the writhing number evoked by acetic acid injection (200-800 mg/kg) and licking time in the first phase of the formalin test (400-800 mg/kg). In the oxidative stress assays, the extract decreased TEAC, Nitric Oxide and MDA levels in response to swimming stress induced in rats.                  Conclusions:                    These results were indicative for the first time that Eupatorium triplinerve exerted mild sedative, anxiolytic and antidepressive effects on the CNS. Antinociceptive effects not related to opioid system and antioxidant activity were also observed. These results support the ethnopharmacological use of Eupatorium triplinerve in popular medicine.          "
green tea,Antidepressant Effect of Shaded White Leaf Tea Containing High Levels of Caffeine and Amino Acids - PubMed,"              The young leaves of green tea become lighter in color than usual when protected from sunlight by a shading net for about two weeks while growing. These leaves are called ""shaded white leaf tea"" or SWLT. In the eluate of SWLT, the amount of amino acids (361 mg/L) was significantly higher than that in regular tea (53.5 mg/L). Since theanine and arginine, the first and second most abundant amino acids in SWLT, have significant antistress effects, we examined the antistress effect of SWLT on humans. SWLT or placebo green tea (3 g) was eluted with room-temperature water (500 mL). Participants consumed the tea for one week prior to pharmacy practice and continued for 10 days in the practice period. The state-trait anxiety inventory, an anxiety questionnaire, tended to be scored lower in the SWLT group than the placebo, but other stress markers showed no differences. The effect of the difference in SWLT components examined with mice showed that aspartic acid and asparagine, which are abundant in SWLT, counteracted the antistress effects of theanine and arginine. Large amounts of caffeine also interfered with SWLT's antistress effect. Thus, SWLT, which is high in caffeine and amino acids, suppressed depressant behavior in mice.          "
green tea,"Caffeine consumption and self-assessed stress, anxiety, and depression in secondary school children - PubMed","              Previous research suggests that effects of caffeine on behaviour are positive unless one is investigating sensitive groups or ingestion of large amounts. Children are a potentially sensitive subgroup, and especially so considering the high levels of caffeine currently found in energy drinks. The present study used data from the Cornish Academies Project to investigate associations between caffeine (both its total consumption, and that derived separately from energy drinks, cola, tea, and coffee) and single-item measures of stress, anxiety, and depression, in a large cohort of secondary school children from the South West of England. After adjusting for additional dietary, demographic, and lifestyle covariates, positive associations between total weekly caffeine intake and anxiety and depression remained significant, and the effects differed between males and females. Initially, effects were also observed in relation to caffeine consumed specifically from coffee. However, coffee was found to be the major contributor to high overall caffeine intake, providing explanation as to why effects relating to this source were also apparent. Findings from the current study increase our knowledge regarding associations between caffeine intake and stress, anxiety, and depression in secondary school children, though the cross-sectional nature of the research made it impossible to infer causality.           "
green tea,"Anti-stress effect of theanine on students during pharmacy practice: positive correlation among salivary α-amylase activity, trait anxiety and subjective stress - PubMed","        Purpose:                    Theanine, an amino acid in tea, has significant anti-stress effect on experimental animals under psychosocial stress. Anti-stress effect of theanine on humans was evaluated in 5th-year university students during pharmacy practice.                  Method:                    The study design was a single-blind group comparison and participants (n=20) were randomly assigned to theanine or placebo groups. Theanine or placebo (lactose) tablets (200 mg, twice a day, after breakfast and lunch) were taken from 1 week prior to the pharmacy practice and continued for 10 days in the practice period. To assess the anxiety of the participants, the state-trait anxiety inventory test was carried out before the pharmacy practice. Salivary α-amylase activity (sAA) was measured as a marker of sympathetic nervous system activity.                  Results:                    In the placebo-group, sAA in the morning (pre-practice sAA) was higher than in theanine-group during the pharmacy practice (p=0.032). Subjective stress was significantly lower in the theanine-group than in the placebo-group (p=0.020). These results suggest that theanine intake had anti-stress effect on students. Furthermore, students with higher pre-practice sAA showed significantly higher trait anxiety in both groups (p=0.015). Similarly, higher pre-practice sAA was correlated to shorter sleeping time in both groups (p=0.41×10(-3)).                  Conclusion:                    Stressful condition increased the level of sAA that was essentially affected by individual trait anxiety. The low levels of pre-practice sAA and subjective stress in the theanine-group suggest that theanine intake suppressed initial stress response of students assigned for a long-term commitment of pharmacy practice.          "
green tea,GABA-enriched teas as neuro-nutraceuticals - PubMed,"              Teas enriched in GABA are consumed for their beneficial effects on blood pressure, stress and anxiety. These effects may involve actions of GABA on the central and peripheral nervous systems. The anaerobic procedures for the production of GABA-enriched teas increase GABA levels by 10-20 times. They also significantly alter the levels of other constituents that may interact with the actions of GABA. These include epigallocatechin gallate, caffeine and theanine. The possible interactions of these active constituents make the understanding of the effects of GABA-enriched teas complex. More data is needed to establish where and how GABA is acting following consumption of GABA-enriched teas. While there is considerable evidence that such GABA is acting on GABA receptors in the periphery, there is rather less evidence that is acting directly in the brain. Certainly, there is more to the action of GABA-enriched teas than GABA itself.          "
green tea,Effects of L-theanine on posttraumatic stress disorder induced changes in rat brain gene expression - PubMed,"              Posttraumatic stress disorder (PTSD) is characterized by the occurrence of a traumatic event that is beyond the normal range of human experience. The future of PTSD treatment may specifically target the molecular mechanisms of PTSD. In the US, approximately 20% of adults report taking herbal products to treat medical illnesses. L-theanine is the amino acid in green tea primarily responsible for relaxation effects. No studies have evaluated the potential therapeutic properties of herbal medications on gene expression in PTSD. We evaluated gene expression in PTSD-induced changes in the amygdala and hippocampus of Sprague-Dawley rats. The rats were assigned to PTSD-stressed and nonstressed groups that received either saline, midazolam, L-theanine, or L-theanine + midazolam. Amygdala and hippocampus tissue samples were analyzed for changes in gene expression. One-way ANOVA was used to detect significant difference between groups in the amygdala and hippocampus. Of 88 genes examined, 17 had a large effect size greater than 0.138. Of these, 3 genes in the hippocampus and 5 genes in the amygdala were considered significant (P < 0.05) between the groups. RT-PCR analysis revealed significant changes between groups in several genes implicated in a variety of disorders ranging from PTSD, anxiety, mood disorders, and substance dependence.           "
green tea,Pu-Erh tea and GABA attenuates oxidative stress in kainic acid-induced status epilepticus - PubMed,"        Background:                    Pu-Erh tea is one of the most-consumed beverages due to its taste and the anti-anxiety-producing effect of the gamma-aminobutyric acid (GABA) if contains. However the protective effects of Pu-Erh tea and its constituent, GABA to kainic acid (KA)-induced seizure have not been fully investigated.                  Methods:                    We analyzed the effect of Pu-Erh tea leaf (PETL) and GABA on KA-induced neuronal injury in vivo and in vitro.                  Results:                    PETL and GABA reduced the maximal seizure classes, predominant behavioral seizure patterns, and lipid peroxidation in male FVB mice with status epilepticus. PETL extracts and GABA were effective in protecting KA-treated PC12 cells in a dose-dependent manner and they decreased Ca(2+) release, ROS production and lipid peroxidation from KA-stressed PC12 cells. Western blot results revealed that mitogen-activated protein kinases (MAPKs), RhoA and cyclo-oxygenase-2 (COX-2) expression were increased in PC12 cells under KA stress, and PETL and GABA significantly reduced COX-2 and p38 MAPK expression, but not that of RhoA. Furthermore, PETL and GABA reduced PGE(2) production from KA-induced PC12 cells.                  Conclusions:                    Taken together, PETL and GABA have neuroprotective effects against excitotoxins that may have clinical applications in epilepsy.          "
green tea,Factors associated with menopausal symptoms and their relationship with the quality of life among Turkish women - PubMed,"        Objectives:                    The aim of this study was to investigate factors associated with menopausal symptoms and their relationship with the quality of life among Turkish women.                  Methods:                    This is a cross-sectional study and included 886 women. Data were collected with a questionnaire including questions about demographics and independent variables tested, the Menopause Symptom Checklist and The MOS 36-Item Short Form Health Survey.                  Results:                    The mean age of the women included in the study was 48.62 years (standard deviation (S.D.)=5.75, range: 40-60 years). Of all women, 32.1% were premenopausal, 23.9% perimenopausal and 44.2% postmenopausal. Stepwise multiple regression analyses, performed to determine factors associated with menopausal symptom score, revealed 12 statistically significant variables which increased the strength of the model. These variables were as follows in the order of their contribution to the strength of the model: health problems, recent life stresses, being a primary school graduate, absence of relaxation methods, number of pregnancy, financial problems, tea consumption, inadequate and unbalanced nutrition, coffee consumption, age, being a secondary school graduate and dissatisfaction in marriage. Besides, there was a significant and moderately negative relation between total menopausal symptom scores and quality of life scores.                  Conclusions:                    A large number of factors were associated with experiencing menopausal symptoms and menopausal symptoms had negative effects on the quality of life among Turkish women. Stress management and health promoting practices should be incorporated into menopausal care programs to improve health and quality of life of middle-aged women.          "
green tea,l-theanine attenuates abstinence signs in morphine-dependent rhesus monkeys and elicits anxiolytic-like activity in mice - PubMed,"              l-theanine, 2-amino-4-(ethylcarbamoyl) butyric acid, an amino acid found in green tea (Camellia sinensis), is sold in the United States as a dietary supplement to reduce stress and improve cognition and mood. The observations that l-theanine has been shown to inhibit caffeine's stimulatory effects and that caffeine produces precipitated withdrawal signs in opioid-addicted monkeys and some opioid withdrawal signs in some normal monkeys, suggest that l-theanine may suppress opioid withdrawal signs. Additionally, l-theanine produces anxiolytic effects in humans indicating that it has anti-anxiety properties. Thus, in these studies we determined whether l-theanine attenuates opioid-withdrawal signs in morphine-dependent rhesus monkeys, a model for spontaneous opioid withdrawal in human opioid addicts. We also evaluated whether l-theanine decreases anxiety-like behavior in mice, using the elevated plus maze and marble burying assays. l-theanine significantly attenuated designated opioid withdrawal signs, including fighting, rigid abdominal muscles, vocalizing on palpation of abdomen, pacing, retching, wet-dog shakes, and masturbation. It had a relatively quick onset of action that persisted for at least 2.5h. l-theanine also produced anxiolytic-like effects in the elevated plus maze and the marble burying assay in naïve mice at doses that did not significantly affect motor behavior. The results of these studies suggest that l-theanine may be useful in the pharmacotherapy of treating opioid withdrawal as well as anxiety-associated behaviors.          "
green tea,Black tea aroma inhibited increase of salivary chromogranin-A after arithmetic tasks - PubMed,"        Background:                    Growing attention has been paid to the effects of food flavor components on alleviating negative brain functions caused by stressful lifestyles. In this study, we investigated the alleviating effect of two kinds of black tea aromas on physical and psychological stress induced by the Uchida-Kraepelin test, based on salivary chromogranin-A (CgA) levels as a stress marker and subjective evaluations (Profile of Mood States).                  Results:                    Compared with the water exposure control, inhaling black tea aroma (Darjeeling and Assam in this study) induced lower salivary CgA concentration levels after 30 min of mental stress load tasks. This anti-stress effect of black tea aroma did not differ between the two tea types even though the concentration of the anti-stress components in the Darjeeling tea aroma was higher than that in the Assam aroma. However, Darjeeling tea aroma tended to decrease the tension and/or anxiety score immediately after the first exposure.                  Conclusions:                    Inhaling black tea aroma may diminish stress levels caused by arithmetic mental stress tasks, and Darjeeling tea aroma tended to improve mood before mental stress load.          "
green tea,The influence of stress at puberty on mood and learning: role of the α4βδ GABAA receptor - PubMed,"              It is well-known that the onset of puberty is associated with changes in mood as well as cognition. Stress can have an impact on these outcomes, which in many cases, can be more influential in females, suggesting that gender differences exist. The adolescent period is a vulnerable time for the onset of certain psychopathologies, including anxiety disorders, depression and eating disorders, which are also more prevalent in females. One factor which may contribute to stress-triggered anxiety at puberty is the GABAA receptor (GABAR), which is known to play a pivotal role in anxiety. Expression of α4βδ GABARs increases on the dendrites of CA1 pyramidal cells at the onset of puberty in the hippocampus, part of the limbic circuitry which governs emotion. This receptor is a sensitive target for the stress steroid 3α-OH-5[α]β-pregnan-20-one or [allo]pregnanolone, which paradoxically reduces inhibition and increases anxiety during the pubertal period (post-natal day ∼35-44) of female mice in contrast to its usual effect to enhance inhibition and reduce anxiety. Spatial learning and synaptic plasticity are also adversely impacted at puberty, likely a result of increased expression of α4βδ GABARs on the dendritic spines of CA1 hippocampal pyramidal cells, which are essential for consolidation of memory. This review will focus on the role of these receptors in mediating behavioral changes at puberty. Stress-mediated changes in mood and cognition in early adolescence may have relevance for the expression of psychopathologies in adulthood.          "
green tea,"Correlations Between Nutrition Habits, Anxiety and Metabolic Parameters in Greek Healthy Adults - PubMed","        Background:                    Anxiety combined with nervousness and apprehension consist a focal response to different life conditions. Lifestyle habits, anxiety and biochemical markers are in a constant interaction.                  Aim:                    To investigate the prevalence of anxiety in healthy adults and its possible association with biochemical factors-lipid profile, liver markers, thyroid hormones-and lifestyle habits.                  Methods:                    Quantitative descriptive correlation study. A total of 100 healthy adults participated in the research. A specially designed questionnaire and Hamilton's scale were used. Anthropometric and biochemical analyses were performed.                  Findings:                    Overall, 61% of the participants presented moderate to very serious anxiety. The average score on the Hamilton scale was 13.82 (±9.000), with men exhibiting less stress than women. For p ≤ 0.05: Stress was positively correlated with impaired thyroid and hepatic function. Hepatic function was affected by both sugar products and water melon, which were positively correlated with total bilirubin and AST/SGOT respectively. Tomato, peppers and legumes were negatively correlated with AST/SGOT. Deep fried food was positively correlated with GGT and triglycerides. Legumes and fish were negatively correlated with CPK. Regarding the lipid metabolism, it was found that food cooked with oil was positively associated with uric acid, but non-cooked olive oil was negatively correlated with the risk for CAD. Thyroid function was negatively correlated with non-homemade food and pasta consumption and positively correlated with consumption of whole grains and green tea. Participants with subclinical hypothyroidism seemed to consume less vitamin B12, folic acid and vegetables.                  Conclusion:                    No direct correlation between lifestyle habits and anxiety was found. Nevertheless, eating habits influenced biochemical markers-especially the thyroid hormones-which may be indirectly responsible for anxiety and related moods.          "
green tea,"Effects of Epigallocatechin Gallate on Behavioral and Cognitive Impairments, Hypothalamic-Pituitary-Adrenal Axis Dysfunction, and Alternations in Hippocampal BDNF Expression Under Single Prolonged Stress - PubMed","              Post-traumatic stress disorder (PTSD) is a traumatic stress-related psychiatric disorder stimulated by experience. Green tea has potent antioxidative properties, due, in part, to the catechin (-) epigallocatechin-3-gallate (EGCG). EGCG is an important polyphenol with advantageous effects on anxiety and depression. Nevertheless, the mechanism about the inhibition of PTSD-like symptoms of EGCG is still unidentified. We examined whether EGCG improved learning and memory deficit stimulated in rats after single prolonged stress (SPS). Rats were administrated intraperitoneally (i.p.) with EGCG for 14 successive days after the SPS process. The SPS procedure stimulated cognitive deficit in the Morris water maze test and the object recognition task, and this impairment was improved by EGCG (25 mg/kg, i.p.). Daily EGCG administration significantly decreased the freezing response to contextual fear conditioning. The administration of EGCG also significantly moderated memory-related decreases in the alternation of cAMP-response element-binding protein and brain-derived neurotrophic factor in the hippocampus. Our results suggest that EGCG alleviated SPS-stimulated learning and memory deficit by inhibiting the increase of neuroinflammation in the rat brain. In addition, EGCG reversed the alternation of allopregnanolone and progesterone in the brain, and diminished simultaneously the hypothalamic-pituitary-adrenal axis dysfunction. Thus, EGCG reversed learning and memory-related behavioral dysfunction and molecular alternation accelerated by traumatic stress and may be a useful therapeutic material for PTSD.          "
green tea,[Management of infantile colics] - PubMed,"              Infantile colic concerns about 10-30% of all newborns and has been defined as a condition characterized by paroxysmal episodes of unexplained full force crying for at least three days a week and continuing for one week or more in a thriving well-nourished infant. The disorder more likely occurs in the evening, without identifiable causes and resolves spontaneously by the fourth month of life. The several factors involved in the etiopathogenesis (food intolerance or allergy to cow's milk protein, intolerance to lactose, intestinal hyperperistalsis, neuro-hormonal immaturity, maternal anxiety and familial stress), make the management of infants with colics difficult. We propose a scoring system for the evaluation of colics in infants based on: 1) crying intensity and duration; 2) accompanying characteristics of crises (e.g. meteorism, family history for allergic disease, type of feeding, type of stools); 3) evaluation of parents' opinion of their infants' crying. Type of management is based on the score: a) crying that is unrelated to colics: treatments referred to specific diagnosis. b) crying that is related to colics but not severe: first and second step of management; c) crying that is related to colics and is severe: third step of management.                  Management:                    first step: pacifier, rocking, dull continuous background noise, hot water bottle on the abdomen, herbal tea, simethicone. Second step: pharmacological treatment and periodic controls. Pharmacological treatment include antispastic drugs (e.g. cimetropium bromide). Third step: dietary modification and/or pharmacological treatment: mothers of breast-fed infants are given a diet with no milk or products containing its proteins, or fish, or eggs. Infants who are not breast-fed receive soy milk and if symptoms continue soy milk is substituted with hydrolyzed casein milk formula. Pharmacological treatment include antispastic drugs (e.g. cimetropium bromide and in non responders dicyclomine hydrochloride). Dietary modifications appear more suitable than pharmacological treatment in resolving symptoms, since side effects of drugs have been described and our recent results indicate appropriate dietary modifications offer better results than pharmacological treatment in resolving crises. However, before interrupting dietary modifications and reintroducing cow's milk proteins, infant's tolerance to such proteins is tested. In any case because of the good prognosis and rapid regression of symptoms, dietary regimens or pharmacological treatment should only be applied if really necessary and for brief periods under medical supervision.          "
green tea,Correlation between lifestyle and social factors in functional dyspepsia among college freshmen - PubMed,"        Objective:                    We aimed to examine the relationship between the prevalence of functional dyspepsia (FD) and lifestyle habits, to identify social factors that may contribute to psychosocial disorders.                  Methods:                    We enrolled 759 university freshmen in this study, who were categorized into the FD group and healthy group. All participants completed the validated Self-Rating Depression Scale and Self-Rating Anxiety Scale questionnaires, to assess lifestyle and social factors among participants.                  Results:                    The proportion of participants with FD was 16.86%, and 67.97% were women. Diet irregularities and sleep impairment may have an effect on FD. Tea consumption may play a role in preventing FD. Participants with FD were more likely to have mood disorders than healthy participants. Most participants with FD who had mood disorders experienced mild anxiety or depression. Participants' main sources of stress arose from daily life, development, social life, life events, and participants' daily schedule.                  Conclusion:                    Sex and lifestyle habits, including sleeping patterns and dietary habits, can have an impact on FD. Social stress and mood disorders also have an effect on FD. FD may be prevented by adjusting lifestyle habits and psychological counseling.          "
